"ANNEE";"ETAPE";"LIBELLE_ETAPE";"CompteDeNuméro";"DPT_BAC"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"02"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"05"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"06"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"07"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"08"
2009;"EI3AMG";"I3-EPU-Aménagement";2;"12"
2009;"EI3AMG";"I3-EPU-Aménagement";3;"13"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"14"
2009;"EI3AMG";"I3-EPU-Aménagement";2;"17"
2009;"EI3AMG";"I3-EPU-Aménagement";4;"18"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"19"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"21"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"26"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"27"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"28"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"30"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"31"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"34"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"35"
2009;"EI3AMG";"I3-EPU-Aménagement";5;"37"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"38"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"42"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"43"
2009;"EI3AMG";"I3-EPU-Aménagement";4;"44"
2009;"EI3AMG";"I3-EPU-Aménagement";3;"45"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"47"
2009;"EI3AMG";"I3-EPU-Aménagement";4;"49"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"50"
2009;"EI3AMG";"I3-EPU-Aménagement";2;"51"
2009;"EI3AMG";"I3-EPU-Aménagement";2;"53"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"56"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"59"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"61"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"62"
2009;"EI3AMG";"I3-EPU-Aménagement";2;"63"
2009;"EI3AMG";"I3-EPU-Aménagement";2;"64"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"69"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"71"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"72"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"74"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"75"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"76"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"77"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"78"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"82"
2009;"EI3AMG";"I3-EPU-Aménagement";4;"84"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"86"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"87"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"88"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"92"
2009;"EI3AMG";"I3-EPU-Aménagement";2;"93"
2009;"EI3AMG";"I3-EPU-Aménagement";2;"94"
2009;"EI3AMG";"I3-EPU-Aménagement";2;"95"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"99132"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"99134"
2009;"EI3AMG";"I3-EPU-Aménagement";6;"99216"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"99350"
2009;"EI3AMG";"I3-EPU-Aménagement";1;"99352"
"ANNEE";"ETAPE";"LIBELLE_ETAPE";"CompteDeNuméro";"DPT_BAC"
2009;"EI3ELE";"I3-EPU-Electronique";1;"17"
2009;"EI3ELE";"I3-EPU-Electronique";1;"29"
2009;"EI3ELE";"I3-EPU-Electronique";1;"33"
2009;"EI3ELE";"I3-EPU-Electronique";1;"35"
2009;"EI3ELE";"I3-EPU-Electronique";2;"37"
2009;"EI3ELE";"I3-EPU-Electronique";1;"64"
2009;"EI3ELE";"I3-EPU-Electronique";1;"78"
2009;"EI3ELE";"I3-EPU-Electronique";1;"85"
2009;"EI3ELE";"I3-EPU-Electronique";1;"87"
2009;"EI3ELE";"I3-EPU-Electronique";1;"971"
2009;"EI3ELE";"I3-EPU-Electronique";1;"972"
2009;"EI3ELE";"I3-EPU-Electronique";9;"99216"
2009;"EI3ELE";"I3-EPU-Electronique";1;"99322"
2009;"EI3ELE";"I3-EPU-Electronique";1;"99327"
2009;"EI3ELE";"I3-EPU-Electronique";1;"99328"
2009;"EI3ELE";"I3-EPU-Electronique";1;"99333"
2009;"EI3ELE";"I3-EPU-Electronique";1;"99341"
2009;"EI3ELE";"I3-EPU-Electronique";2;"99350"
"ANNEE";"ETAPE";"LIBELLE_ETAPE";"CompteDeNuméro";"DPT_BAC"
2009;"EI3INF";"I3-EPU-Informatique";1;"16"
2009;"EI3INF";"I3-EPU-Informatique";1;"17"
2009;"EI3INF";"I3-EPU-Informatique";3;"18"
2009;"EI3INF";"I3-EPU-Informatique";1;"28"
2009;"EI3INF";"I3-EPU-Informatique";2;"34"
2009;"EI3INF";"I3-EPU-Informatique";1;"36"
2009;"EI3INF";"I3-EPU-Informatique";22;"37"
2009;"EI3INF";"I3-EPU-Informatique";1;"40"
2009;"EI3INF";"I3-EPU-Informatique";4;"41"
2009;"EI3INF";"I3-EPU-Informatique";1;"42"
2009;"EI3INF";"I3-EPU-Informatique";1;"44"
2009;"EI3INF";"I3-EPU-Informatique";3;"45"
2009;"EI3INF";"I3-EPU-Informatique";1;"47"
2009;"EI3INF";"I3-EPU-Informatique";2;"49"
2009;"EI3INF";"I3-EPU-Informatique";1;"50"
2009;"EI3INF";"I3-EPU-Informatique";1;"52"
2009;"EI3INF";"I3-EPU-Informatique";1;"53"
2009;"EI3INF";"I3-EPU-Informatique";1;"58"
2009;"EI3INF";"I3-EPU-Informatique";1;"64"
2009;"EI3INF";"I3-EPU-Informatique";1;"65"
2009;"EI3INF";"I3-EPU-Informatique";1;"68"
2009;"EI3INF";"I3-EPU-Informatique";1;"72"
2009;"EI3INF";"I3-EPU-Informatique";1;"78"
2009;"EI3INF";"I3-EPU-Informatique";4;"86"
2009;"EI3INF";"I3-EPU-Informatique";1;"972"
2009;"EI3INF";"I3-EPU-Informatique";1;"973"
2009;"EI3INF";"I3-EPU-Informatique";21;"99216"
2009;"EI3INF";"I3-EPU-Informatique";1;"99322"
2009;"EI3INF";"I3-EPU-Informatique";1;"99331"
2009;"EI3INF";"I3-EPU-Informatique";2;"99341"
2009;"EI3INF";"I3-EPU-Informatique";4;"99350"
2009;"EI3INF";"I3-EPU-Informatique";1;"99351"
"ANNEE";"ETAPE";"LIBELLE_ETAPE";"CompteDeNuméro";"DPT_BAC"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";1;"16"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";1;"93"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";2;"16"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";3;"17"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";1;"28"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";1;"31"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";5;"37"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";1;"41"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";1;"44"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";1;"45"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";2;"79"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";5;"86"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";1;"87"
2009;"EI3INI";"I3-EPU-Informatique Industrielle";1;"99350"
"ANNEE";"ETAPE";"LIBELLE_ETAPE";"CompteDeNuméro";"DPT_BAC"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"99328"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"06"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"07"
2009;"EI3MEC";"I3-EPU-Mécanique";2;"13"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"16"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"17"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"18"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"28"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"33"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"36"
2009;"EI3MEC";"I3-EPU-Mécanique";6;"37"
2009;"EI3MEC";"I3-EPU-Mécanique";2;"38"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"40"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"41"
2009;"EI3MEC";"I3-EPU-Mécanique";2;"49"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"50"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"57"
2009;"EI3MEC";"I3-EPU-Mécanique";3;"59"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"69"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"71"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"72"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"75"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"80"
2009;"EI3MEC";"I3-EPU-Mécanique";2;"86"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"87"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"88"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"91"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"94"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"988"
2009;"EI3MEC";"I3-EPU-Mécanique";11;"99216"
2009;"EI3MEC";"I3-EPU-Mécanique";1;"99322"
2009;"EI3MEC";"I3-EPU-Mécanique";2;"99341"
2009;"EI3MEC";"I3-EPU-Mécanique";3;"99350"
"ANNEE";"Champ1";"Champ3";"CompteDeNumEtu";"Champ20"
2009;"SL1MAI";"L1-Maths et Info.";1;"16"
2009;"SL1MAI";"L1-Maths et Info.";1;"17"
2009;"SL1MAI";"L1-Maths et Info.";4;"18"
2009;"SL1MAI";"L1-Maths et Info.";1;"21"
2009;"SL1MAI";"L1-Maths et Info.";3;"28"
2009;"SL1MAI";"L1-Maths et Info.";1;"33"
2009;"SL1MAI";"L1-Maths et Info.";3;"36"
2009;"SL1MAI";"L1-Maths et Info.";6;"37"
2009;"SL1MAI";"L1-Maths et Info.";2;"41"
2009;"SL1MAI";"L1-Maths et Info.";1;"44"
2009;"SL1MAI";"L1-Maths et Info.";2;"45"
2009;"SL1MAI";"L1-Maths et Info.";4;"49"
2009;"SL1MAI";"L1-Maths et Info.";1;"56"
2009;"SL1MAI";"L1-Maths et Info.";1;"57"
2009;"SL1MAI";"L1-Maths et Info.";1;"61"
2009;"SL1MAI";"L1-Maths et Info.";1;"64"
2009;"SL1MAI";"L1-Maths et Info.";1;"72"
2009;"SL1MAI";"L1-Maths et Info.";2;"76"
2009;"SL1MAI";"L1-Maths et Info.";1;"79"
2009;"SL1MAI";"L1-Maths et Info.";4;"86"
2009;"SL1MAI";"L1-Maths et Info.";1;"91"
2009;"SL1MAI";"L1-Maths et Info.";1;"99208"
2009;"SL1MAI";"L1-Maths et Info.";1;"99350"
2009;"SL1SCM";"L1-Sciences de la matière";1;"13"
2009;"SL1SCM";"L1-Sciences de la matière";2;"18"
2009;"SL1SCM";"L1-Sciences de la matière";3;"28"
2009;"SL1SCM";"L1-Sciences de la matière";1;"33"
2009;"SL1SCM";"L1-Sciences de la matière";1;"34"
2009;"SL1SCM";"L1-Sciences de la matière";4;"35"
2009;"SL1SCM";"L1-Sciences de la matière";15;"37"
2009;"SL1SCM";"L1-Sciences de la matière";1;"41"
2009;"SL1SCM";"L1-Sciences de la matière";1;"42"
2009;"SL1SCM";"L1-Sciences de la matière";1;"44"
2009;"SL1SCM";"L1-Sciences de la matière";2;"45"
2009;"SL1SCM";"L1-Sciences de la matière";1;"49"
2009;"SL1SCM";"L1-Sciences de la matière";1;"57"
2009;"SL1SCM";"L1-Sciences de la matière";2;"61"
2009;"SL1SCM";"L1-Sciences de la matière";1;"63"
2009;"SL1SCM";"L1-Sciences de la matière";2;"72"
2009;"SL1SCM";"L1-Sciences de la matière";1;"77"
2009;"SL1SCM";"L1-Sciences de la matière";1;"79"
2009;"SL1SCM";"L1-Sciences de la matière";1;"86"
2009;"SL1SCM";"L1-Sciences de la matière";1;"91"
2009;"SL1SCM";"L1-Sciences de la matière";1;"93"
2009;"SL1SCM";"L1-Sciences de la matière";1;"94"
2009;"SL1SCM";"L1-Sciences de la matière";1;"99350"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"01"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"02"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"04"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"12"
2010;"EI3AMG";"I3-EPU-Aménagement";4;"13"
2010;"EI3AMG";"I3-EPU-Aménagement";3;"21"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"24"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"25"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"26"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"28"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"29"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"31"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"33"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"34"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"35"
2010;"EI3AMG";"I3-EPU-Aménagement";3;"37"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"39"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"41"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"42"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"44"
2010;"EI3AMG";"I3-EPU-Aménagement";5;"45"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"47"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"49"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"50"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"51"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"54"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"56"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"59"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"62"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"63"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"64"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"69"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"73"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"74"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"75"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"76"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"77"
2010;"EI3AMG";"I3-EPU-Aménagement";3;"78"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"79"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"80"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"83"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"84"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"86"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"91"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"94"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"972"
2010;"EI3AMG";"I3-EPU-Aménagement";2;"974"
2010;"EI3AMG";"I3-EPU-Aménagement";1;"99216"
2010;"EI3AMG";"I3-EPU-Aménagement";6;"99350"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2010;"EI3ELE";"I3-EPU-Electronique";1;"13"
2010;"EI3ELE";"I3-EPU-Electronique";1;"17"
2010;"EI3ELE";"I3-EPU-Electronique";1;"21"
2010;"EI3ELE";"I3-EPU-Electronique";3;"37"
2010;"EI3ELE";"I3-EPU-Electronique";1;"41"
2010;"EI3ELE";"I3-EPU-Electronique";1;"45"
2010;"EI3ELE";"I3-EPU-Electronique";1;"56"
2010;"EI3ELE";"I3-EPU-Electronique";1;"57"
2010;"EI3ELE";"I3-EPU-Electronique";1;"61"
2010;"EI3ELE";"I3-EPU-Electronique";1;"62"
2010;"EI3ELE";"I3-EPU-Electronique";1;"63"
2010;"EI3ELE";"I3-EPU-Electronique";2;"69"
2010;"EI3ELE";"I3-EPU-Electronique";1;"72"
2010;"EI3ELE";"I3-EPU-Electronique";2;"86"
2010;"EI3ELE";"I3-EPU-Electronique";1;"91"
2010;"EI3ELE";"I3-EPU-Electronique";1;"93"
2010;"EI3ELE";"I3-EPU-Electronique";1;"972"
2010;"EI3ELE";"I3-EPU-Electronique";9;"99216"
2010;"EI3ELE";"I3-EPU-Electronique";1;"99501"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2010;"EI3INF";"I3-EPU-Informatique";1;"10"
2010;"EI3INF";"I3-EPU-Informatique";1;"16"
2010;"EI3INF";"I3-EPU-Informatique";2;"17"
2010;"EI3INF";"I3-EPU-Informatique";1;"22"
2010;"EI3INF";"I3-EPU-Informatique";1;"25"
2010;"EI3INF";"I3-EPU-Informatique";1;"26"
2010;"EI3INF";"I3-EPU-Informatique";2;"28"
2010;"EI3INF";"I3-EPU-Informatique";2;"34"
2010;"EI3INF";"I3-EPU-Informatique";15;"37"
2010;"EI3INF";"I3-EPU-Informatique";2;"38"
2010;"EI3INF";"I3-EPU-Informatique";6;"41"
2010;"EI3INF";"I3-EPU-Informatique";3;"44"
2010;"EI3INF";"I3-EPU-Informatique";5;"45"
2010;"EI3INF";"I3-EPU-Informatique";2;"53"
2010;"EI3INF";"I3-EPU-Informatique";1;"56"
2010;"EI3INF";"I3-EPU-Informatique";2;"62"
2010;"EI3INF";"I3-EPU-Informatique";1;"71"
2010;"EI3INF";"I3-EPU-Informatique";3;"79"
2010;"EI3INF";"I3-EPU-Informatique";1;"80"
2010;"EI3INF";"I3-EPU-Informatique";2;"85"
2010;"EI3INF";"I3-EPU-Informatique";1;"86"
2010;"EI3INF";"I3-EPU-Informatique";1;"92"
2010;"EI3INF";"I3-EPU-Informatique";1;"972"
2010;"EI3INF";"I3-EPU-Informatique";1;"974"
2010;"EI3INF";"I3-EPU-Informatique";16;"99216"
2010;"EI3INF";"I3-EPU-Informatique";1;"99322"
2010;"EI3INF";"I3-EPU-Informatique";1;"99331"
2010;"EI3INF";"I3-EPU-Informatique";1;"99341"
2010;"EI3INF";"I3-EPU-Informatique";2;"99350"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"06"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"16"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"17"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";2;"28"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"31"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";2;"36"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";3;"37"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"38"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";4;"41"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";3;"45"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"47"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"65"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";1;"72"
2010;"EI3INI";"I3-EPU-Informatique Industrielle";2;"86"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"13"
2010;"EI3MEC";"I3-EPU-Mécanique";4;"16"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"17"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"18"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"21"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"27"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"28"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"29"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"33"
2010;"EI3MEC";"I3-EPU-Mécanique";9;"37"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"40"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"41"
2010;"EI3MEC";"I3-EPU-Mécanique";3;"44"
2010;"EI3MEC";"I3-EPU-Mécanique";3;"45"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"50"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"51"
