"ANNEE";"ETAPE";"LIBELLE_ETAPE";"CompteDeNuméro";"DPT_BAC"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"56"
2010;"EI3MEC";"I3-EPU-Mécanique";3;"59"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"61"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"66"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"71"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"72"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"74"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"76"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"78"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"79"
2010;"EI3MEC";"I3-EPU-Mécanique";3;"86"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"88"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"94"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"95"
2010;"EI3MEC";"I3-EPU-Mécanique";2;"988"
2010;"EI3MEC";"I3-EPU-Mécanique";12;"99216"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"99324"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"99331"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"99341"
2010;"EI3MEC";"I3-EPU-Mécanique";1;"99350"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2010;"EI1PIP";"Parcours PeiP année 1";1;"06"
2010;"EI1PIP";"Parcours PeiP année 1";1;"16"
2010;"EI1PIP";"Parcours PeiP année 1";5;"18"
2010;"EI1PIP";"Parcours PeiP année 1";1;"22"
2010;"EI1PIP";"Parcours PeiP année 1";3;"28"
2010;"EI1PIP";"Parcours PeiP année 1";2;"31"
2010;"EI1PIP";"Parcours PeiP année 1";3;"35"
2010;"EI1PIP";"Parcours PeiP année 1";1;"36"
2010;"EI1PIP";"Parcours PeiP année 1";28;"37"
2010;"EI1PIP";"Parcours PeiP année 1";7;"41"
2010;"EI1PIP";"Parcours PeiP année 1";5;"44"
2010;"EI1PIP";"Parcours PeiP année 1";7;"45"
2010;"EI1PIP";"Parcours PeiP année 1";3;"49"
2010;"EI1PIP";"Parcours PeiP année 1";2;"53"
2010;"EI1PIP";"Parcours PeiP année 1";1;"60"
2010;"EI1PIP";"Parcours PeiP année 1";1;"61"
2010;"EI1PIP";"Parcours PeiP année 1";1;"64"
2010;"EI1PIP";"Parcours PeiP année 1";6;"72"
2010;"EI1PIP";"Parcours PeiP année 1";1;"75"
2010;"EI1PIP";"Parcours PeiP année 1";1;"77"
2010;"EI1PIP";"Parcours PeiP année 1";1;"78"
2010;"EI1PIP";"Parcours PeiP année 1";3;"79"
2010;"EI1PIP";"Parcours PeiP année 1";1;"83"
2010;"EI1PIP";"Parcours PeiP année 1";3;"85"
2010;"EI1PIP";"Parcours PeiP année 1";1;"86"
2010;"EI1PIP";"Parcours PeiP année 1";1;"87"
2010;"EI1PIP";"Parcours PeiP année 1";2;"92"
2010;"EI1PIP";"Parcours PeiP année 1";2;"95"
2010;"EI1PIP";"Parcours PeiP année 1";1;"99328"
2010;"EI1PIP";"Parcours PeiP année 1";1;"99341"
2010;"EI1PIP";"Parcours PeiP année 1";3;"99350"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"03"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"07"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"12"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"13"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"14"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"17"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"18"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"22"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"25"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"28"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"29"
2011;"EI3AMG";"I3-EPU-Aménagement";4;"31"
2011;"EI3AMG";"I3-EPU-Aménagement";3;"33"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"34"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"35"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"36"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"37"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"38"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"39"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"40"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"41"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"42"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"43"
2011;"EI3AMG";"I3-EPU-Aménagement";3;"44"
2011;"EI3AMG";"I3-EPU-Aménagement";4;"45"
2011;"EI3AMG";"I3-EPU-Aménagement";3;"49"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"56"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"57"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"58"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"59"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"60"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"61"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"64"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"66"
2011;"EI3AMG";"I3-EPU-Aménagement";5;"67"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"69"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"72"
2011;"EI3AMG";"I3-EPU-Aménagement";5;"73"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"76"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"77"
2011;"EI3AMG";"I3-EPU-Aménagement";4;"78"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"79"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"81"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"82"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"84"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"86"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"87"
2011;"EI3AMG";"I3-EPU-Aménagement";2;"91"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"94"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"973"
2011;"EI3AMG";"I3-EPU-Aménagement";1;"99327"
2011;"EI3AMG";"I3-EPU-Aménagement";3;"99350"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2011;"EI3ELE";"I3-EPU-Electronique";1;"02"
2011;"EI3ELE";"I3-EPU-Electronique";1;"08"
2011;"EI3ELE";"I3-EPU-Electronique";2;"13"
2011;"EI3ELE";"I3-EPU-Electronique";3;"17"
2011;"EI3ELE";"I3-EPU-Electronique";1;"33"
2011;"EI3ELE";"I3-EPU-Electronique";1;"34"
2011;"EI3ELE";"I3-EPU-Electronique";3;"37"
2011;"EI3ELE";"I3-EPU-Electronique";1;"41"
2011;"EI3ELE";"I3-EPU-Electronique";1;"44"
2011;"EI3ELE";"I3-EPU-Electronique";1;"45"
2011;"EI3ELE";"I3-EPU-Electronique";1;"54"
2011;"EI3ELE";"I3-EPU-Electronique";1;"61"
2011;"EI3ELE";"I3-EPU-Electronique";1;"64"
2011;"EI3ELE";"I3-EPU-Electronique";2;"69"
2011;"EI3ELE";"I3-EPU-Electronique";1;"75"
2011;"EI3ELE";"I3-EPU-Electronique";1;"78"
2011;"EI3ELE";"I3-EPU-Electronique";1;"81"
2011;"EI3ELE";"I3-EPU-Electronique";1;"88"
2011;"EI3ELE";"I3-EPU-Electronique";1;"99134"
2011;"EI3ELE";"I3-EPU-Electronique";6;"99216"
2011;"EI3ELE";"I3-EPU-Electronique";1;"99324"
2011;"EI3ELE";"I3-EPU-Electronique";1;"99341"
2011;"EI3ELE";"I3-EPU-Electronique";2;"99350"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2011;"EI3INF";"I3-EPU-Informatique";1;"01"
2011;"EI3INF";"I3-EPU-Informatique";2;"03"
2011;"EI3INF";"I3-EPU-Informatique";1;"09"
2011;"EI3INF";"I3-EPU-Informatique";2;"16"
2011;"EI3INF";"I3-EPU-Informatique";3;"18"
2011;"EI3INF";"I3-EPU-Informatique";1;"28"
2011;"EI3INF";"I3-EPU-Informatique";1;"34"
2011;"EI3INF";"I3-EPU-Informatique";1;"36"
2011;"EI3INF";"I3-EPU-Informatique";8;"37"
2011;"EI3INF";"I3-EPU-Informatique";1;"44"
2011;"EI3INF";"I3-EPU-Informatique";4;"45"
2011;"EI3INF";"I3-EPU-Informatique";3;"49"
2011;"EI3INF";"I3-EPU-Informatique";1;"57"
2011;"EI3INF";"I3-EPU-Informatique";1;"58"
2011;"EI3INF";"I3-EPU-Informatique";2;"59"
2011;"EI3INF";"I3-EPU-Informatique";2;"62"
2011;"EI3INF";"I3-EPU-Informatique";2;"72"
2011;"EI3INF";"I3-EPU-Informatique";1;"76"
2011;"EI3INF";"I3-EPU-Informatique";1;"79"
2011;"EI3INF";"I3-EPU-Informatique";1;"80"
2011;"EI3INF";"I3-EPU-Informatique";1;"84"
2011;"EI3INF";"I3-EPU-Informatique";4;"86"
2011;"EI3INF";"I3-EPU-Informatique";1;"91"
2011;"EI3INF";"I3-EPU-Informatique";21;"99216"
2011;"EI3INF";"I3-EPU-Informatique";2;"99341"
2011;"EI3INF";"I3-EPU-Informatique";5;"99350"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";1;"17"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";1;"18"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";1;"28"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";1;"35"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";7;"37"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";7;"41"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";4;"45"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";1;"49"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";1;"72"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";2;"75"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";1;"80"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";3;"86"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";1;"87"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";1;"89"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";1;"99203"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";1;"99327"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";1;"99341"
2011;"EI3INI";"I3-EPU-Informatique Industrielle";1;"99350"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"11"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"12"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"14"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"18"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"21"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"28"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"29"
2011;"EI3MEC";"I3-EPU-Mécanique";3;"33"
2011;"EI3MEC";"I3-EPU-Mécanique";2;"35"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"36"
2011;"EI3MEC";"I3-EPU-Mécanique";10;"37"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"39"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"41"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"45"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"46"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"47"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"58"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"59"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"62"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"68"
2011;"EI3MEC";"I3-EPU-Mécanique";5;"72"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"75"
2011;"EI3MEC";"I3-EPU-Mécanique";3;"76"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"77"
2011;"EI3MEC";"I3-EPU-Mécanique";2;"78"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"79"
2011;"EI3MEC";"I3-EPU-Mécanique";4;"81"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"86"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"91"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"94"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"99132"
2011;"EI3MEC";"I3-EPU-Mécanique";11;"99216"
2011;"EI3MEC";"I3-EPU-Mécanique";1;"99322"
2011;"EI3MEC";"I3-EPU-Mécanique";3;"99341"
2011;"EI3MEC";"I3-EPU-Mécanique";4;"99350"
"ANNEE";"CODE_ETAPE";"LIB_ETAPE";"CompteDeID";"DEPT_BAC"
2011;"EI1PIP";"Parcours PeiP année 1";1;"16"
2011;"EI1PIP";"Parcours PeiP année 1";8;"18"
2011;"EI1PIP";"Parcours PeiP année 1";1;"27"
2011;"EI1PIP";"Parcours PeiP année 1";3;"28"
2011;"EI1PIP";"Parcours PeiP année 1";1;"31"
2011;"EI1PIP";"Parcours PeiP année 1";1;"33"
2011;"EI1PIP";"Parcours PeiP année 1";3;"36"
2011;"EI1PIP";"Parcours PeiP année 1";21;"37"
2011;"EI1PIP";"Parcours PeiP année 1";1;"40"
2011;"EI1PIP";"Parcours PeiP année 1";7;"41"
2011;"EI1PIP";"Parcours PeiP année 1";6;"44"
2011;"EI1PIP";"Parcours PeiP année 1";7;"45"
2011;"EI1PIP";"Parcours PeiP année 1";4;"49"
2011;"EI1PIP";"Parcours PeiP année 1";1;"50"
2011;"EI1PIP";"Parcours PeiP année 1";1;"53"
2011;"EI1PIP";"Parcours PeiP année 1";1;"54"
2011;"EI1PIP";"Parcours PeiP année 1";1;"57"
2011;"EI1PIP";"Parcours PeiP année 1";1;"63"
2011;"EI1PIP";"Parcours PeiP année 1";2;"72"
2011;"EI1PIP";"Parcours PeiP année 1";1;"75"
2011;"EI1PIP";"Parcours PeiP année 1";1;"76"
2011;"EI1PIP";"Parcours PeiP année 1";4;"78"
2011;"EI1PIP";"Parcours PeiP année 1";2;"79"
2011;"EI1PIP";"Parcours PeiP année 1";3;"85"
2011;"EI1PIP";"Parcours PeiP année 1";2;"86"
2011;"EI1PIP";"Parcours PeiP année 1";1;"87"
2011;"EI1PIP";"Parcours PeiP année 1";1;"89"
2011;"EI1PIP";"Parcours PeiP année 1";1;"91"
2011;"EI1PIP";"Parcours PeiP année 1";1;"94"
2011;"EI1PIP";"Parcours PeiP année 1";1;"974"
2011;"EI1PIP";"Parcours PeiP année 1";1;"99219"
2011;"EI1PIP";"Parcours PeiP année 1";1;"99331"
2011;"EI1PIP";"Parcours PeiP année 1";1;"99350"
"ANNEE";"ETAPE";"LIBELLE_ETAPE";"CompteDeNuméro";"DPT_BAC"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"01"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"08"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"11"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"18"
2008;"EI3AMG";"I3-EPU-Aménagement";2;"22"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"24"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"28"
2008;"EI3AMG";"I3-EPU-Aménagement";3;"29"
2008;"EI3AMG";"I3-EPU-Aménagement";2;"31"
2008;"EI3AMG";"I3-EPU-Aménagement";3;"33"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"34"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"35"
2008;"EI3AMG";"I3-EPU-Aménagement";10;"37"
2008;"EI3AMG";"I3-EPU-Aménagement";3;"38"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"42"
2008;"EI3AMG";"I3-EPU-Aménagement";6;"44"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"45"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"50"
2008;"EI3AMG";"I3-EPU-Aménagement";3;"56"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"57"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"58"
2008;"EI3AMG";"I3-EPU-Aménagement";7;"59"
2008;"EI3AMG";"I3-EPU-Aménagement";2;"62"
2008;"EI3AMG";"I3-EPU-Aménagement";2;"63"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"64"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"66"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"67"
2008;"EI3AMG";"I3-EPU-Aménagement";2;"68"
2008;"EI3AMG";"I3-EPU-Aménagement";2;"69"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"71"
2008;"EI3AMG";"I3-EPU-Aménagement";2;"72"
2008;"EI3AMG";"I3-EPU-Aménagement";2;"77"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"78"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"79"
2008;"EI3AMG";"I3-EPU-Aménagement";2;"85"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"87"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"91"
2008;"EI3AMG";"I3-EPU-Aménagement";2;"92"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"93"
2008;"EI3AMG";"I3-EPU-Aménagement";2;"94"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"973"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"974"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"988"
2008;"EI3AMG";"I3-EPU-Aménagement";9;"99216"
2008;"EI3AMG";"I3-EPU-Aménagement";1;"9935"
"ANNEE";"ETAPE";"LIBELLE_ETAPE";"CompteDeNuméro";"DPT_BAC"
2008;"EI3ELE";"I3-EPU-Electronique";1;"02"
2008;"EI3ELE";"I3-EPU-Electronique";1;"30"
2008;"EI3ELE";"I3-EPU-Electronique";2;"33"
2008;"EI3ELE";"I3-EPU-Electronique";3;"37"
2008;"EI3ELE";"I3-EPU-Electronique";1;"45"
2008;"EI3ELE";"I3-EPU-Electronique";1;"47"
2008;"EI3ELE";"I3-EPU-Electronique";1;"59"
2008;"EI3ELE";"I3-EPU-Electronique";1;"60"
2008;"EI3ELE";"I3-EPU-Electronique";1;"61"
2008;"EI3ELE";"I3-EPU-Electronique";1;"72"
2008;"EI3ELE";"I3-EPU-Electronique";1;"85"
2008;"EI3ELE";"I3-EPU-Electronique";1;"91"
2008;"EI3ELE";"I3-EPU-Electronique";1;"93"
2008;"EI3ELE";"I3-EPU-Electronique";7;"99216"
2008;"EI3ELE";"I3-EPU-Electronique";1;"99322"
2008;"EI3ELE";"I3-EPU-Electronique";1;"99333"
"ANNEE";"ETAPE";"LIBELLE_ETAPE";"CompteDeNuméro";"DPT_BAC"
2008;"EI3INI";"I3-EPU-Informatique Industrielle";1;"28"
2008;"EI3INI";"I3-EPU-Informatique Industrielle";6;"37"
2008;"EI3INI";"I3-EPU-Informatique Industrielle";1;"41"
2008;"EI3INI";"I3-EPU-Informatique Industrielle";1;"45"
2008;"EI3INI";"I3-EPU-Informatique Industrielle";2;"72"
2008;"EI3INI";"I3-EPU-Informatique Industrielle";1;"79"
2008;"EI3INI";"I3-EPU-Informatique Industrielle";1;"85"
2008;"EI3INI";"I3-EPU-Informatique Industrielle";1;"86"
2008;"EI3INI";"I3-EPU-Informatique Industrielle";1;"87"
"ANNEE";"ETAPE";"LIBELLE_ETAPE";"CompteDeNuméro";"DPT_BAC"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"13"
2008;"EI3MEC";"I3-EPU-Mécanique";2;"18"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"28"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"31"
2008;"EI3MEC";"I3-EPU-Mécanique";2;"35"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"36"
2008;"EI3MEC";"I3-EPU-Mécanique";4;"37"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"41"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"49"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"58"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"59"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"62"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"64"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"69"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"75"
2008;"EI3MEC";"I3-EPU-Mécanique";2;"76"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"85"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"91"
2008;"EI3MEC";"I3-EPU-Mécanique";9;"99216"
2008;"EI3MEC";"I3-EPU-Mécanique";3;"99350"
2008;"EI3MEC";"I3-EPU-Mécanique";1;"99352"
